,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
0,2021-10-26,KA,Bagalkote,,,,35178,333,34843,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,1136178,592315,1769389,2986553,38024,2939990,50314135,42013339,21856656,63869995
1,2021-10-26,KA,Ballari,,,,97757,1689,95949,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,1718314,814097,2563629,2986553,38024,2939990,50314135,42013339,21856656,63869995
2,2021-10-26,KA,Belagavi,,,,79882,938,78863,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,3133966,1312927,4486445,2986553,38024,2939990,50314135,42013339,21856656,63869995
3,2021-10-26,KA,Bengaluru Rural,,,,61988,890,61056,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,697087,368724,1075815,2986553,38024,2939990,50314135,42013339,21856656,63869995
4,2021-10-26,KA,Bengaluru Urban,,,,1251013,16253,1228295,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,9186871,5736494,14991978,2986553,38024,2939990,50314135,42013339,21856656,63869995
5,2021-10-26,KA,Bidar,,,,24340,400,23933,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,918772,493573,1430120,2986553,38024,2939990,50314135,42013339,21856656,63869995
6,2021-10-26,KA,Chamarajanagara,,,,32997,500,32456,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,646445,328754,986247,2986553,38024,2939990,50314135,42013339,21856656,63869995
7,2021-10-26,KA,Chikkaballapura,,,,43941,426,43493,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,848838,479940,1346167,2986553,38024,2939990,50314135,42013339,21856656,63869995
8,2021-10-26,KA,Chikkamagaluru,,,,51108,395,50635,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,733871,336698,1077651,2986553,38024,2939990,50314135,42013339,21856656,63869995
9,2021-10-26,KA,Chitradurga,,,,36652,206,36401,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,982339,578160,1592314,2986553,38024,2939990,50314135,42013339,21856656,63869995
10,2021-10-26,KA,Dakshina Kannada,,,,115339,1671,113381,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,1527307,820003,2364388,2986553,38024,2939990,50314135,42013339,21856656,63869995
11,2021-10-26,KA,Davanagere,,,,50979,607,50353,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,1010528,472539,1496080,2986553,38024,2939990,50314135,42013339,21856656,63869995
12,2021-10-26,KA,Dharwad,,,,60968,1313,59632,,2021-11-10T09:06:31.477133+05:30,2021-11-10T09:06:31.477133+05:30,,,1194845,537456,1754306,2986553,38024,2939990,50314135,42013339,21856656,63869995
