,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
0,2021-10-26,PB,Ludhiana,,,,87599,2106,85464,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,2449985,925228,3381466,602251,16554,585471,15255962,15826694,6106073,21932767
1,2021-10-26,PB,S.A.S. Nagar,,,,68806,1068,67707,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,869760,397219,1268370,602251,16554,585471,15255962,15826694,6106073,21932767
2,2021-10-26,PB,Jalandhar,,,,63381,1496,61856,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,1425924,668242,2098498,602251,16554,585471,15255962,15826694,6106073,21932767
3,2021-10-26,PB,Patiala,,,,48925,1358,47550,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,1046885,389796,1438522,602251,16554,585471,15255962,15826694,6106073,21932767
4,2021-10-26,PB,Amritsar,,,,47361,1596,45751,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,1250005,436267,1689738,602251,16554,585471,15255962,15826694,6106073,21932767
5,2021-10-26,PB,Bathinda,,,,41717,1042,40664,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,619049,198210,818411,602251,16554,585471,15255962,15826694,6106073,21932767
6,2021-10-26,PB,Hoshiarpur,,,,30813,984,29820,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,996848,564005,1563145,602251,16554,585471,15255962,15826694,6106073,21932767
7,2021-10-26,PB,Gurdaspur,,,,22379,800,21575,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,849786,399030,1253200,602251,16554,585471,15255962,15826694,6106073,21932767
8,2021-10-26,PB,Fazilka,,,,20263,528,19726,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,486099,128770,616547,602251,16554,585471,15255962,15826694,6106073,21932767
9,2021-10-26,PB,Pathankot,,,,18797,419,18367,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,423747,192932,617705,602251,16554,585471,15255962,15826694,6106073,21932767
10,2021-10-26,PB,Sri Muktsar Sahib,,,,18782,524,18257,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,470975,139521,611953,602251,16554,585471,15255962,15826694,6106073,21932767
11,2021-10-26,PB,Kapurthala,,,,17850,556,17290,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,462261,183797,647866,602251,16554,585471,15255962,15826694,6106073,21932767
12,2021-10-26,PB,Sangrur,,,,15760,875,14881,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,722544,213232,937866,602251,16554,585471,15255962,15826694,6106073,21932767
13,2021-10-26,PB,Mansa,,,,15606,380,15225,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,369660,87459,458539,602251,16554,585471,15255962,15826694,6106073,21932767
14,2021-10-26,PB,Ferozepur,,,,14337,504,13826,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,473847,125325,601207,602251,16554,585471,15255962,15826694,6106073,21932767
15,2021-10-26,PB,Faridkot,,,,13922,315,13597,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,328688,125792,455361,602251,16554,585471,15255962,15826694,6106073,21932767
16,2021-10-26,PB,Rupnagar,,,,12945,423,12511,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,383545,179555,564029,602251,16554,585471,15255962,15826694,6106073,21932767
17,2021-10-26,PB,Shahid Bhagat Singh Nagar,,,,11468,388,11080,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,390498,169126,560531,602251,16554,585471,15255962,15826694,6106073,21932767
18,2021-10-26,PB,Fatehgarh Sahib,,,,8874,335,8538,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,353519,132519,486930,602251,16554,585471,15255962,15826694,6106073,21932767
19,2021-10-26,PB,Moga,,,,8674,233,8433,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,538851,175285,715690,602251,16554,585471,15255962,15826694,6106073,21932767
20,2021-10-26,PB,Tarn Taran,,,,8043,380,7657,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,592001,173891,768869,602251,16554,585471,15255962,15826694,6106073,21932767
21,2021-10-26,PB,Barnala,,,,5949,244,5696,,2021-11-10T14:16:55.030311+05:30,2021-11-10T14:16:55.030311+05:30,,,322217,100872,424689,602251,16554,585471,15255962,15826694,6106073,21932767
