"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19864","19470","127","267"
"2","Chengalpattu","234322","230116","1552","2654"
"3","Chennai","748349","735613","3683","9053"
"4","Coimbatore","328564","322766","3189","2609"
"5","Cuddalore","74106","72847","366","893"
"6","Dharmapuri","36100","35607","210","283"
"7","Dindigul","37426","36616","145","665"
"8","Erode","132326","130452","1141","733"
"9","Kallakurichi","36491","36111","165","215"
"10","Kancheepuram","94131","92338","491","1302"
"11","Kanyakumari","86015","84109","822","1084"
"12","Karur","29688","29106","210","372"
"13","Krishnagiri","59489","58712","407","370"
"14","Madurai","90921","89479","207","1235"
"15","Mayiladuthurai","26471","26104","39","328"
"16","Nagapattinam","25396","24818","204","374"
"17","Namakkal","67804","66686","585","533"
"18","Nilgiris","41785","41183","376","226"
"19","Perambalur","14442","14143","50","249"
"20","Pudukottai","34405","33797","182","426"
"21","Ramanathapuram","24629","24159","103","367"
"22","Ranipet","53856","52846","223","787"
"23","Salem","127066","124285","1021","1760"
"24","Sivagangai","23715","23316","180","219"
"25","Tenkasi","32709","32173","46","490"
"26","Thanjavur","91972","90395","540","1037"
"27","Theni","50572","49893","147","532"
"28","Thirupathur","35702","34982","87","633"
"29","Thiruvallur","147050","144195","920","1935"
"30","Thiruvannamalai","66690","65650","356","684"
"31","Thiruvarur","47920","47105","344","471"
"32","Thoothukudi","64875","64268","162","445"
"33","Tirunelveli","62678","61958","275","445"
"34","Tiruppur","129594","127649","894","1051"
"35","Trichy","94694","92834","701","1159"
"36","Vellore","57114","55805","147","1162"
"37","Villupuram","54491","53919","206","366"
"38","Virudhunagar","56734","56007","173","554"
"39","Airport Surveillance 
(International)","1241","1235","5","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,42,929","33,84,278","20,681","37,970"
