"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3066","113542","3023","110512","38","3017","13"
"2","SAS Nagar","5341","101030","5300","99833","20","1168","29"
"3","Jalandhar","2805","81070","2736","79074","42","1982","14"
"4","Patiala","2123","64203","2088","62471","11","1722","10"
"5","Amritsar","1392","60947","1375","59083","6","1846","18"
"6","Bathinda","1565","52432","1550","50993","4","1427","12"
"7","Hoshiarpur","1295","42404","1246","40978","19","1419","7"
"8","Gurdaspur","345","27272","328","26401","7","871","0"
"9","Pathankot","514","25016","479","24494","4","521","1"
"10","Fazilka","518","23950","502","23305","0","621","24"
"11","Muktsar","281","22833","276","22286","3","542","5"
"12","Kapurthala","547","22576","531","21972","8","600","4"
"13","Ropar","1138","19076","1127","18610","4","459","7"
"14","Ferozepur","470","18363","462","17822","3","540","1"
"15","Mansa","191","17416","187","17023","1","392","1"
"16","Faridkot","378","17214","379","16800","3","414","0"
"17","Sangrur","275","14709","267","13840","9","869","0"
"18","SBS Nagar","463","13865","466","13454","0","409","2"
"19","FG Sahib","715","12630","705","12185","1","437","8"
"20","Moga","247","11246","241","10972","6","272","2"
"21","Tarn Taran","151","11051","143","10648","1","399","4"
"22","Barnala","215","7715","209","7347","7","364","4"
"23","Malerkotla","61","4064","58","3849","3","214","1"
"","Total","24096","784624","23678","763952","200","20505","167"
