"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2877","113353","2768","110257","37","3016","80"
"2","SAS Nagar","5047","100736","4748","99281","19","1167","288"
"3","Jalandhar","2657","80922","2471","78809","29","1969","144"
"4","Patiala","2010","64090","1930","62313","11","1722","55"
"5","Amritsar","1279","60834","1183","58891","6","1846","97"
"6","Bathinda","1363","52230","1284","50727","3","1426","77"
"7","Hoshiarpur","1191","42300","1084","40816","15","1415","69"
"8","Gurdaspur","327","27254","280","26353","3","867","34"
"9","Pathankot","477","24979","427","24442","4","521","16"
"10","Fazilka","415","23847","386","23189","0","621","37"
"11","Muktsar","246","22798","232","22242","3","542","14"
"12","Kapurthala","511","22540","471","21912","6","598","30"
"13","Ropar","1028","18966","936","18419","4","459","88"
"14","Ferozepur","436","18329","394","17754","3","540","35"
"15","Mansa","182","17407","175","17011","1","393","3"
"16","Faridkot","364","17200","356","16777","3","414","9"
"17","Sangrur","269","14703","258","13831","9","869","3"
"18","SBS Nagar","411","13813","402","13390","0","409","14"
"19","FG Sahib","658","12573","649","12129","1","437","7"
"20","Moga","220","11219","211","10942","4","270","7"
"21","Tarn Taran","127","11027","107","10612","1","399","16"
"22","Barnala","192","7692","181","7319","5","362","11"
"23","Malerkotla","60","4063","56","3847","3","214","2"
"","Total","22347","782875","20989","761263","170","20476","1136"
