"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 01-03-2022","","","Cumulative 
Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","151","837","259095","257255[188]","99.29","1003[1]","273","1160","169","4959191"
"2","Faridabad","23","226","126791","125826[44]","99.24","739","131","579","37","3780987"
"3","Hisar","5","64","61806","60572[39]","98.00","1170","39","148","32","2238659"
"4","Sonepat","4","37","58417","58104[32]","99.46","276","48","157","25","2185640"
"5","Karnal","8","49","48120","47475[11]","98.66","596","20","72","5","2260307"
"6","Panipat","0","15","36041","35357","98.10","669","37","177","9","1947444"
"7","Panchkula","9","47","44052","43591[4]","98.95","414","11","32","112","1057209"
"8","Ambala","2","38","40713","40133[5]","98.58","542","57","524","25","2015558"
"9","Sirsa","1","16","33326","32773[11]","98.34","537","34","89","2","1860461"
"10","Rohtak","10","69","31753","31133[14]","98.05","534","10","133","2","1610951"
"11","Yamunanagar","1","26","30566","30085[14]","98.43","455","10","196","6","1829054"
"12","Bhiwani","4","42","26395","25690[10]","97.33","663","14","57","12","1687176"
"13","Kurukshetra","1","25","26803","26384[12]","98.44","394","142","591","11","1423648"
"14","Mahindergarh","16","50","24685","24471[17]","99.13","164","9","26","2","1324567"
"15","Jind","1","13","24328","23774[5]","97.72","541","16","53","5","1623889"
"16","Rewari","1","24","24567","24319[6]","98.99","224","4","45","2","1493178"
"17","Jhajjar","3","25","23405","23032[7]","98.41","342","31","389","2","1512277"
"18","Fatehabad","7","17","20034","19519[2]","97.43","498","11","24","0","1170987"
"19","Kaithal","1","17","14197","13811[5]","97.28","369","23","210","1","1649624"
"20","Palwal","21","37","13392","13200[23]","98.57","155","69","176","5","1449373"
"21","Charkhi Dadri","1","48","7397","7204[13]","97.39","145","1","17","1","834191"
"22","Nuh","3","22","6074","5918[6]","97.43","134","46","218","2","1205499"
"Haryana","","273","1744","981957","969626[468]","98.74","10564[1]","1036","4912","467","41119870"
