"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","479","1127511","0","19660"
"2","Thane","12","120255","0","2289"
"3","TMC","61","199601","0","2180"
"4","Navi Mumbai","83","177165","0","2094"
"5","KDMC","13","179069","0","2978"
"6","Ulhasnagar MC","2","27025","0","685"
"7","Bhivandi Nijampur MC","3","13329","0","496"
"8","Mira Bhayandar MC","34","79207","0","1231"
"9","Palghar","5","65456","0","1244"
"10","Vasai Virar MC","29","101831","0","2175"
"11","Raigad","40","142880","0","3475"
"12","Panvel MC","20","110202","0","1485"
"","Mumbai circle total","781","2343531","0","39992"
"13","Nashik","46","185493","0","3817"
"14","Nashik MC","17","280433","0","4754"
"15","Malegaon MC","0","11109","0","345"
