"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","228866","222838","5888","140"
"12","Nashik","477035","467659","8916","460"
"13","Ahmednagar","379984","372420","7251","313"
"14","Jalgaon","150116","147319","2762","35"
"15","Nandurbar","46885","45867","963","55"
"16","Dhule","51335","50608","670","57"
"17","Aurangabad","178329","173860","4288","181"
"18","Jalna","67364","66100","1224","40"
"19","Beed","109617","106690","2888","39"
"20","Latur","106021","103363","2489","169"
"21","Parbhani","58742","57434","1280","28"
"22","Hingoli","22419","21874","515","30"
"23","Nanded","103164","100375","2704","85"
"24","Osmanabad","76241","73908","2139","194"
"25","Amravati","106830","105112","1625","93"
"26","Akola","66824","65311","1475","38"
"27","Washim","47208","46465","641","102"
"28","Buldhana","93003","92119","839","45"
"29","Yavatmal","82557","80664","1820","73"
"30","Nagpur","584430","574160","9216","1054"
"31","Wardha","66217","64723","1409","85"
"32","Bhandara","69405","67988","1142","275"
"33","Gondia","45861","45116","587","158"
"34","Chandrapur","99634","97875","1595","164"
