"S.
No.","District","Total Confirmed
Cases","","Total Cured","","Total Deaths","","","Total
Active
Cases"
"","","From 1st
April
2022","Till Date","From 1st
April 2022","Till Date","From 1st
April
2022","Till Date","Additional
Ex-Gratia
Deaths *",""
"1","Ludhiana","1296","111772","1030","108519","20","2999","700","254"
"2","SAS Nagar","2067","97756","1615","96148","11","1159","Pending","449"
"3","Jalandhar","713","78978","484","76821","3","1944","363","213"
"4","Patiala","780","62860","623","61006","1","1712","254","142"
"5","Amritsar","373","59928","305","58013","2","1842","158","73"
"6","Bathinda","511","51378","329","49772","1","1424","335","182"
"7","Hoshiarpur","203","41345","172","39904","4","1404","304","37"
"8","Gurdaspur","115","27044","84","26157","2","866","Pending","21"
"9","Pathankot","211","24728","161","24176","0","517","22","35"
"10","Fazilka","153","23587","140","22943","0","621","76","23"
"11","Muktsar","65","22617","54","22064","0","539","Pending","14"
"12","Kapurthala","157","22186","121","21563","1","593","10","30"
"13","Ropar","252","18190","172","17655","1","456","Pending","79"
"14","Ferozepur","144","18043","121","17481","2","539","Pending","23"
"15","Mansa","103","17328","83","16919","1","393","Pending","16"
"16","Faridkot","179","17015","155","16576","1","412","73","27"
"17","Sangrur","86","14521","67","13640","0","861","126","20"
"18","SBS Nagar","110","13512","88","13076","0","409","Pending","27"
"19","FG Sahib","222","12137","176","11656","1","437","82","44"
"20","Moga","42","11041","37","10768","2","268","12","5"
"21","Tarn Taran","38","10938","26","10531","0","398","4","9"
"22","Barnala","69","7569","59","7197","0","357","8","15"
"23","Malerkotla","25","4029","21","3812","1","213","36","4"
"","Total","7914","768502","6123","746397","54","20363","2563","1742"
