"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","803","2305","248715","36","12413","261128","762"
"Bageshwar","1048","119","217075","7","5819","222894","823"
"Chamoli","705","383","298237","15","12327","310564","677"
"Champawat","1219","1128","274509","7","7774","282283","1467"
"Dehradun","5233","2637","1945626","441","115621","2061247","2003"
"Haridwar","4463","4145","2252338","254","52834","2305172","1763"
"Nainital","1920","1360","586321","220","40690","627011","723"
"Pauri Garhwal","1207","617","422094","56","18242","440336","1466"
"Pithoragarh","553","33","238692","12","10445","249137","1593"
"Rudraprayag","335","168","204553","14","8846","213399","702"
"Tehri Garhwal","578","172","310060","28","15958","326018","1074"
"US Nagar","2605","2246","983529","193","38581","1022110","342"
"Uttarkashi","315","472","347256","9","12627","359883","127"
"Total","20984","15785","8329005","1292","352177","8681182","13522"
