"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","1240","1686","264306","291","13845","278151","876"
"Bageshwar","984","1056","226796","106","6474","233270","693"
"Chamoli","1515","1102","306245","158","13158","319403","1462"
"Champawat","789","724","284214","62","8353","292567","599"
"Dehradun","9740","8651","2012471","1601","128873","2141344","3816"
"Haridwar","9322","8263","2332556","706","57762","2390318","4563"
"Nainital","1426","1175","599760","692","45871","645631","287"
"Pauri Garhwal","1221","868","432623","181","19963","452586","604"
"Pithoragarh","718","701","245958","106","11085","257043","693"
"Rudraprayag","628","602","208545","101","9224","217769","899"
"Tehri Garhwal","878","811","316146","161","16912","333058","625"
"US Nagar","2641","2645","1008754","590","42440","1051194","522"
"Uttarkashi","768","747","352883","63","12991","365874","799"
"Total","31870","29031","8591257","4818","386951","8978208","16438"
