"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","112","1148425","0","19726"
"2","Thane","5","120975","0","2290"
"3","TMC","16","202752","1","2193"
"4","Navi Mumbai","32","180949","0","2096"
"5","KDMC","7","180114","0","2978"
"6","Ulhasnagar MC","1","27296","0","686"
"7","Bhivandi Nijampur MC","1","13414","0","496"
"8","Mira Bhayandar MC","8","79862","0","1237"
"9","Palghar","2","65720","0","1244"
"10","Vasai Virar MC","9","102681","0","2177"
"11","Raigad","13","144484","1","3484"
"12","Panvel MC","18","111340","0","1487"
"","Mumbai circle total","224","2378012","2","40094"
"13","Nashik","1","186261","0","3817"
"14","Nashik MC","12","281133","0","4756"
"15","Malegaon MC","1","11163","0","345"
