"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","352","110128","230","107719","6","2285","124"
"2","SAS Nagar","681","96370","480","95013","2","1150","207"
"3","Jalandhar","189","78459","156","76856","1","1579","24"
"4","Patiala","277","62308","244","60816","0","1457","35"
"5","Amritsar","107","59504","99","57807","0","1682","15"
"6","Bathinda","90","50958","63","49841","0","1088","29"
"7","Hoshiarpur","83","40923","76","39808","0","1096","19"
"8","Gurdaspur","30","26969","26","26099","1","865","5"
"9","Pathankot","73","24605","56","24089","0","495","21"
"10","Fazilka","40","23438","47","22886","0","545","7"
"11","Muktsar","17","22571","18","22028","0","539","4"
"12","Kapurthala","51","22086","43","21495","1","583","8"
"13","Ropar","47","17985","39","17522","0","455","8"
"14","Ferozepur","26","17925","23","17383","0","537","5"
"15","Mansa","10","17238","5","16841","1","393","4"
"16","Faridkot","44","16827","37","16478","0","338","11"
"17","Sangrur","4","14313","3","13576","0","735","2"
"18","SBS Nagar","27","13429","29","13017","0","409","3"
"19","FG Sahib","40","11874","21","11501","0","354","19"
"20","Moga","13","11001","9","10740","1","255","6"
"21","Tarn Taran","14","10912","5","10510","0","394","8"
"22","Barnala","8","7505","12","7155","0","349","1"
"23","Malerkotla","7","3975","7","3798","0","176","1"
"","Total","2230","761303","1728","742978","13","17759","566"
