,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-07-11,TR,Dhalai,,,,8461,40,8412,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,2
1,2022-07-11,TR,Gomati,,,,9413,87,9293,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,4
2,2022-07-11,TR,Khowai,,,,5143,56,5085,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,0
3,2022-07-11,TR,North Tripura,,,,8803,38,8755,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,7
4,2022-07-11,TR,Sipahijala,,,,7323,87,7177,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,2
5,2022-07-11,TR,South Tripura,,,,11856,59,11790,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,3
6,2022-07-11,TR,Unokoti,,,,10066,74,9987,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,4
7,2022-07-11,TR,West Tripura,,,,40086,479,39445,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,43
8,2022-07-11,TR,Unknown,,,,3,3,65,,2022-07-12 11:55:25.451654,,,,101154,923,99944,2494927,65,-65
