"","","","","","","","","","","","reasons#"
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid",""
"","1","Bagalakote","325","39150","215","36541","2263","0","346","0",""
"","2","Ballari","502","111730","620","104268","5750","5","1712","0",""
"","3","Belagavi","900","91717","558","83958","6784","6","975","0",""
"","4","Bengaluru Rural","517","77877","1109","72741","4233","0","903","0",""
"","5","Bengaluru Urban","10692","1720890","8813","1570258","134038","12","16593","1",""
"","6","Bidar","84","28865","350","27619","835","0","407","4",""
"","7","Chamarajanagara","455","41632","780","36656","4450","2","515","11",""
"","8","Chikkaballapura","267","54115","420","49151","4517","2","446","1",""
"","9","Chikkamagaluru","155","56172","144","54071","1701","0","400","0",""
"","10","Chitradurga","494","43687","478","41088","2378","0","221","0",""
"","11","Dakshina 
Kannada","363","132537","816","126826","3954","6","1750","7",""
"","12","Davanagere","172","56542","242","54341","1590","0","611","0",""
"","13","Dharwada","1044","80274","1051","72514","6425","1","1333","2",""
"","14","Gadag","143","29804","249","27995","1481","1","328","0",""
"","15","Hassana","689","140129","1238","132160","6676","4","1291","2",""
"","16","Haveri","328","25055","315","22895","1508","0","652","0",""
"","17","Kalaburagi","499","74323","807","68683","4784","3","856","0",""
"","18","Kodagu","402","45868","185","41765","3759","0","343","1",""
"","19","Kolara","357","61440","1993","57280","3513","1","647","0",""
"","20","Koppala","327","39960","515","37544","1886","0","530","0",""
"","21","Mandya","809","98454","1997","92463","5318","2","673","0",""
"","22","Mysuru","1327","221970","2886","209090","10386","2","2494","0",""
"","23","Raichuru","155","44375","371","42542","1487","2","346","0",""
"","24","Ramanagara","84","29064","156","27559","1167","0","338","0",""
"","25","Shivamogga","496","78949","589","73828","4015","2","1105","1",""
"","26","Tumakuru","1090","154569","1746","144264","9133","1","1172","0",""
"","27","Udupi","337","93022","838","88041","4472","2","509","0",""
"","28","Uttara Kannada","753","68081","964","63800","3488","2","793","0",""
"","29","Vijayapura","121","39690","296","38080","1110","0","500","0",""
"","30","Yadagiri","285","29490","128","28054","1230","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","24172","3809467","30869","3526108","244331","56","38998","30",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 31-01-2022 
 Page 5 of 66","","","","","","","","","",""
"","","","","","","","","","","",""
