,Unnamed: 0,44,Unnamed: 1,मर्रु,Unnamed: 2,21,Unnamed: 3,44.1,Unnamed: 4,25261,Unnamed: 5,0,Unnamed: 6,406,Unnamed: 7,156,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,अमरोह,,5.0,,56.0,,19000.0,,0.0,,205.0,,155.0,,,,,
1,,46,,मरुादाबाद,,13.0,,52.0,,45822.0,,0.0,,365.0,,155.0,,,,,
2,,47,,भदोही,,9.0,,44.0,,8203.0,,0.0,,164.0,,151.0,,,,,
3,,48,,गोंड,,8.0,,38.0,,13780.0,,0.0,,280.0,,143.0,,,,,
4,,49,,क नपरु देह त,,15.0,,33.0,,6821.0,,0.0,,110.0,,142.0,,,,,
5,,50,,फर्रख ब द,,12.0,,31.0,,11692.0,,1.0,,197.0,,124.0,,,,,
6,,51,,प्रतापगढ़,,15.0,,24.0,,16450.0,,0.0,,163.0,,121.0,,,,,
7,,52,,चदौली,,5.0,,37.0,,17322.0,,2.0,,376.0,,112.0,,,,,
8,,53,,कुशीनगर,,12.0,,33.0,,15991.0,,0.0,,233.0,,112.0,,,,,
9,,54,,बस्ती,,13.0,,18.0,,12593.0,,0.0,,334.0,,110.0,,,,,
10,,55,,अमठेी,,5.0,,24.0,,11184.0,,0.0,,145.0,,96.0,,,,,
11,,56,,एट,,6.0,,50.0,,11952.0,,0.0,,100.0,,94.0,,,,,
12,,57,,बललय,,2.0,,6.0,,22387.0,,0.0,,245.0,,93.0,,,,,
13,,58,,इट व,,11.0,,32.0,,15573.0,,0.0,,295.0,,92.0,,,,,
14,,59,,श्र वस्ती,,20.0,,3.0,,4972.0,,0.0,,39.0,,91.0,,,,,
15,,60,,अयोध्य,,10.0,,9.0,,18463.0,,0.0,,292.0,,82.0,,,,,
16,,61,,कौश म्बी,,16.0,,26.0,,4700.0,,0.0,,72.0,,80.0,,,,,
17,,62,,लमर् परु,,4.0,,28.0,,11828.0,,1.0,,121.0,,74.0,,,,,
18,,63,,र मपरु,,3.0,,14.0,,14489.0,,0.0,,152.0,,69.0,,,,,
19,,64,,क्रिरोजाबाद,,5.0,,33.0,,10408.0,,0.0,,136.0,,68.0,,,,,
20,,65,,औरैय्य,,7.0,,22.0,,10650.0,,0.0,,210.0,,65.0,,,,,
21,,66,,बागपत,,6.0,,21.0,,10911.0,,0.0,,140.0,,65.0,,,,,
22,,67,,चचत्रकट,,3.0,,34.0,,7630.0,,0.0,,79.0,,65.0,,,,,
23,,68,,मऊ,,5.0,,11.0,,8841.0,,1.0,,84.0,,58.0,,,,,
24,,69,,सत कबीर नगर,,4.0,,17.0,,8745.0,,1.0,,100.0,,58.0,,,,,
25,,70,,मनैपरुी,,1.0,,20.0,,11350.0,,0.0,,189.0,,54.0,,,,,
26,,71,,सभल,,3.0,,10.0,,10931.0,,0.0,,108.0,,52.0,,,,,
27,,72,,महोब,,9.0,,4.0,,4352.0,,0.0,,88.0,,51.0,,,,,
28,,73,,बलर मपरु,,6.0,,10.0,,8012.0,,0.0,,139.0,,38.0,,,,,
29,,74,,क सगज,,11.0,,4.0,,4815.0,,0.0,,54.0,,28.0,,,,,
30,,75,,ह र्रस,,2.0,,19.0,,3672.0,,0.0,,43.0,,25.0,,,,,
31,,Total,,,,,,,1997.0,,5453.0,,2002318.0,,13.0,,23343.0,,23180.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23343 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
