,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Ahmednagar,143,7,208,,150,239,0,0,728.0,31.0,730.0,,23842.0,18347.0,0,4543083,,,,339914,7064,330834,,2479023,890293,0,1,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,1.0
1,1,1,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Akola,1,0,0,,2,0,0,0,6.0,0.0,8.0,,17649.0,6690.0,0,1818617,,,,58771,1425,57322,,769288,361404,0,4,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,4.0
2,2,2,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Amravati,0,0,0,,2,0,0,0,-1.0,0.0,0.0,,12225.0,9905.0,0,2887826,,,,96231,1594,94618,,1245538,552659,0,2,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,2.0
3,3,3,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Aurangabad,25,0,7,,93,50,0,0,155.0,0.0,98.0,,24092.0,17777.0,0,3695928,,,,155422,4251,150713,,1782386,730945,0,14,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,14.0
4,4,4,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Beed,12,0,11,,356,316,0,0,58.0,6.0,108.0,,31775.0,22201.0,0,2585962,,,,103779,2809,100904,,1164970,499185,0,7,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,7.0
5,5,5,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Bhandara,1,0,1,,0,2,0,0,0.0,0.0,1.0,,1564.0,6217.0,0,1198810,,,,60081,1123,58946,,826290,423496,0,10,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,10.0
6,6,6,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Buldhana,3,0,2,,213,84,0,0,18.0,1.0,13.0,,25250.0,16250.0,0,2588039,,,,85527,797,84716,,1150526,522135,0,6,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,6.0
7,7,7,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Chandrapur,1,0,0,,2,1,0,0,6.0,2.0,0.0,,9139.0,9676.0,0,2194262,,,,88971,1562,87387,,1338480,462704,0,4,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,4.0
8,8,8,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Dhule,1,0,1,,212,179,0,0,8.0,0.0,12.0,,20159.0,16123.0,0,2048781,,,,46175,654,45509,,1019531,485667,0,11,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,11.0
9,9,9,2021-11-04,MH,1141,32,1163,100229,11258,8976,0,0,7345.0,211.0,10809.0,730674.0,1014583.0,828450.0,0.0,Gadchiroli,0,0,0,,823,196,0,0,2.0,0.0,4.0,,9787.0,6821.0,0,1071795,,,,30441,669,29736,,545506,234366,0,33,2021-11-05 18:28:26,122153000,2021-11-05 18:28:26,,,6615299,140345,6456263,63047584,67669173,31377168,0,3629,3629.0,33.0
