,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7658,7520,129,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,497451,294270,203181,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,1,10,11,0,1,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2067255,2048971,14386,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,54155435,33242004,20913431,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,20964,23003,43967,326,466,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55174,54809,280,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,1322188,774360,547828,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,99,750,849,7,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,611487,601833,6015,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,28703714,20260898,8442816,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,9199,35880,45079,276,365,4,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726118,716413,9661,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,69028115,50203633,18824482,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,14733,14284,29017,7,8,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65356,64503,820,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,1479279,926937,552342,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,9,71,80,1,2,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1006121,992248,13583,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,22398817,14920117,7478700,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,3103,5476,8579,25,27,3,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10675,4,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,1038141,662061,376080,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,2,13,15,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1439963,1414552,25091,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,20593488,13098346,7495142,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,38,109,147,41,30,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,178204,174518,3366,2021-11-04,TT,34321025,459652,33712794,2021-11-16 15:20:14.511183,612346767,2021-11-03 00:00:00,1067914,1077380188,739477582,337902606,2190045,1264767,925278,https://www.icmr.gov.in/,12885,461,15054,464452,288072,752524,13,10,23,38,33,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363440.857142857,1340161.142857143,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
