,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState
0,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Anjaw,0,0,0,,0,0,0,0.0,0.0,0.0,,39.0,169.0,21089,,,,1068,3,1065,,11716,8032,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
1,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Changlang,0,0,0,,0,6,0,3807.0,22.0,3782.0,,,,147951,,,,3807,22,3782,,89722,58273,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
2,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,East Kameng,0,0,0,,8,25,0,-2710.0,-22.0,-2683.0,,-65785.0,-38675.0,78413,,,,1094,0,1094,,22987,15958,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
3,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,East Siang,0,0,0,,0,1,0,2119.0,17.0,2091.0,,31232.0,24615.0,99019,,,,3213,17,3185,,54137,40118,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
4,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Kamle,0,0,0,,2,11,0,-2690.0,-17.0,-2665.0,,-46964.0,-34968.0,22256,,,,512,0,512,,6953,3928,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
5,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Kra Daadi,0,0,0,,0,0,0,-242.0,0.0,-242.0,,-653.0,-528.0,0,,,,270,0,270,,6278,3291,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
6,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Kurung Kumey,0,0,0,,0,10,0,241.0,1.0,240.0,,2893.0,2607.0,89717,,,,511,1,510,,9165,5866,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
7,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Lepa Rada,0,0,0,,1,9,0,365.0,2.0,361.0,,4222.0,4700.0,0,,,,876,3,871,,13343,10301,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
8,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Lohit,0,0,0,,0,0,0,2013.0,23.0,1981.0,,17877.0,12413.0,145538,,,,2887,26,2851,,31191,22483,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
9,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Longding,0,0,0,,20,65,0,-2129.0,-24.0,-2099.0,,-11699.0,-13322.0,60000,,,,752,2,749,,19353,8282,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
10,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Lower Dibang Valley,0,0,8,,6,22,0,1677.0,9.0,1660.0,,13495.0,14705.0,53986,,,,2429,11,2409,,32729,22394,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
11,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Lower Siang,0,0,0,,0,0,0,-1685.0,-3.0,-1667.0,,-15995.0,-11829.0,80597,,,,738,8,730,,16595,10105,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
12,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Lower Subansiri,0,0,2,,3,48,0,2300.0,7.0,2288.0,,10499.0,9420.0,82839,,,,3038,15,3018,,27041,19259,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
13,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Namsai,0,0,1,,0,0,0,-910.0,2.0,-908.0,,36721.0,29783.0,95950,,,,2126,17,2107,,63622,48465,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
14,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Pakke Kessang,0,0,0,,0,26,0,-1671.0,-17.0,-1649.0,,-55461.0,-41168.0,0,,,,453,0,453,,8014,5104,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
15,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Papum Pare,0,0,1,,44,318,0,17864.0,98.0,17763.0,,133640.0,98025.0,176385,,,,18317,98,18216,,141641,102925,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
16,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Shi Yomi,0,0,0,,0,0,0,-18051.0,-98.0,-17947.0,,-133922.0,-93399.0,13310,,,,262,0,261,,6917,5735,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
17,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Siang,0,0,0,,3,14,0,149.0,3.0,152.0,,7505.0,3582.0,31920,,,,411,3,408,,14414,9210,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
18,2021-11-04,AR,0,0,17,12241,99,750,0,40.0,0.0,87.0,3585.0,3457.0,19571.0,Tawang,0,0,3,,0,0,0,2171.0,17.0,2140.0,,15194.0,14541.0,49950,,,,2582,20,2548,,29585,23546,2021-11-05 18:28:25.869921,1504000,2021-11-05 18:28:25.869921,,,55174,280,54826,1187463,774360,547828
