"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 20-01-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","2845","24831","226735","200966[2175]","88.63","938[2]","4361","6253","1887","4699973"
"2","Faridabad","1285","12462","116768","103585[881]","88.71","721[1]","5622","4972","577","3494005"
"3","Hisar","487","1525","56828","54163[260]","95.31","1140[1]","2143","2346","174","2134383"
"4","Sonepat","559","2746","52838","49834[403]","94.31","258","2537","3237","207","2072516"
"5","Karnal","482","2767","45115","41781[503]","92.61","567[1]","3963","2151","314","2141617"
"6","Panipat","301","1533","33781","31609[215]","93.57","639","1944","3379","154","1808259"
"7","Panchkula","666","2210","38738","36144[599]","93.30","384","959","1023","524","1000057"
"8","Ambala","537","4160","36773","32092[439]","87.27","521","1197","2793","431","1923739"
"9","Sirsa","235","868","30870","29491[150]","95.53","511","1743","2296","204","1781236"
"10","Rohtak","283","1549","28660","26560[247]","92.67","534","1173","1692","149","1464544"
"11","Yamunanagar","221","1103","26870","25343[214]","94.32","424","2253","4999","283","1666835"
"12","Bhiwani","179","753","23584","22177[75]","94.03","654","1539","1593","375","1601139"
"13","Kurukshetra","253","765","24145","23019[191]","95.34","361","1245","5929","128","1302086"
"14","Mahindergarh","100","368","22321","21797[67]","97.65","156","1035","1205","205","1218271"
"15","Jind","113","588","22436","21313[155]","94.99","535","2108","3364","123","1521405"
"16","Rewari","359","858","22137","21058[177]","95.13","221","704","900","244","1412663"
"17","Jhajjar","222","778","21005","19893[186]","94.71","328","1897","2365","188","1430400"
"18","Fatehabad","156","409","18633","17739[105]","95.20","485","1252","1296","71","1129219"
"19","Kaithal","117","777","12365","11238[96]","90.89","350[1]","1540","4280","162","1501839"
"20","Palwal","21","167","11300","10980[12]","97.17","153","2567","5220","121","1334719"
"21","Charkhi Dadri","94","277","5635","5219[82]","92.62","139","596","3181","182","787238"
"22","Nuh","43","126","5358","5109[44]","95.35","123","2170","5497","59","1019120"
"Haryana","","9558","61620","882895","811110[7276]","91.87","10142[6]","44548","69971","6762","38445263"
