"","COVID-19 STATUS AS ON 18/06/2022","","","","","","","","","","","","","",""
"SNo.","District","Positive Cases","","","","","","","","","","Active","","","Deaths"
"","","TODAY","","","","","","","Cumulative","","","","","Recovered",""
"","","Local","","Non-Local","","Total","","Grand 
Total","","","","","","",""
"","","Travelers","Others","Travelers","Others","Travelers","Others","","Local","Non- 
Local","Total","","Today","Cumulati
ve",""
"1","LEH","0","2","0","1","0","3","3","12765","10262","23027","24","03","22835","168"
"2","KARGIL","0","0","0","0","0","0","0","4197","1086","5283","02","00","5221","60"
"","Total","0","2","0","1","0","3","3","16962","11348","28310","26","03","28056","228"
