District,Recovered,Deceased,Active
गोरखपरु,65725,866,212
लखनऊ,293659,2694,209
गौतम बिु नगर,97799,490,100
बाराबकंी,23591,225,90
लखीमपरु-खीरी,29938,299,64
मरेठ,88025,931,39
सलु्तानपरु,16826,144,37
गाज़ियाबाद,84288,473,36
लललतपरु,14705,134,33
राय बरेली,21281,348,27
झासी,43855,676,26
हरदोई,17242,370,25
कुशीनगर,16207,235,25
प्रतापगढ़,16725,163,19
प्रयागराज,87321,1112,19
उन्नाव,16874,257,18
िाराणसी,97536,988,16
अम्बडेकर नगर,5929,167,15
महाराजगजं,14673,146,14
फरु्रखाबाद,11872,197,13
कन्नौज,10806,126,13
कानपरु नगर,91486,1923,13
सहारनपरु,38354,427,13
मनैपरुी,11469,189,12
आगरा,35675,465,11
आजमगढ़,19428,235,11
जालौन,13845,208,11
अमरोहा,19285,207,9
शाहजहांपरु,24391,447,9
बलुदंशहर,26322,252,8
इटावा,15771,296,8
जौनपरु,24358,244,8
बादा,12044,166,6
बस्ती,12789,337,6
भदोही,8469,165,6
गोंडा,14115,285,6
अलीगढ,25471,113,5
बरेली,50085,377,5
मजुफ्फरनगर,38322,277,5
बललया,22513,246,4
बबजनौर,18282,139,4
चित्रकूट,7757,79,4
देवररया,22397,230,4
