District,Recovered,Deceased,Active
गौतम बिु नगर,98103,490,58
लखनऊ,293988,2694,24
गाज़ियाबाद,84398,473,22
अमठेी,11495,145,21
बाराबकंी,23688,225,16
लखीमपरु-खीरी,30010,300,15
प्रयागराज,87357,1113,12
अम्बडेकर नगर,5951,167,11
अमरोहा,19286,207,10
फरु्रखाबाद,11877,197,10
मरेठ,88072,931,9
कुशीनगर,16229,235,8
गोरखपरु,65954,866,7
लललतपरु,14747,134,7
सलु्तानपरु,16860,144,7
हरदोई,17274,370,6
राय बरेली,21324,348,6
इटावा,15775,296,5
कानपरु नगर,91509,1923,4
िाराणसी,97565,988,4
बलरामपरु,8118,139,3
जौनपरु,24371,244,3
महाराजगजं,14713,146,3
लसद्धार् ुनगर,11524,102,3
उन्नाव,16908,257,3
आगरा,35708,465,2
आजमगढ़,19438,235,2
बललया,22516,246,2
बलुदंशहर,26331,253,2
झासी,43889,675,2
कन्नौज,10827,126,2
मरुादाबाद,46071,368,2
सहारनपरु,38370,428,2
श्रावस्ती,5233,42,2
सीतापरु,15760,187,2
अलीगढ,25477,113,1
औरैय्या,10785,211,1
बागपत,11062,143,1
बहराइच,13412,178,1
फतहेपरु,8294,141,1
गोंडा,14137,285,1
मनैपरुी,11483,189,1
मर्रुा,25589,406,1
