,Unnamed: 0,44,Unnamed: 1,मजुफ्फरनगर,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,38328,Unnamed: 5,0.2,Unnamed: 6,277,Unnamed: 7,1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,प्रतापगढ़,,0.0,,0.0,,16745.0,,0.0,,163.0,,1.0,,,,,
1,,46,,रामपरु,,1.0,,0.0,,14608.0,,0.0,,153.0,,1.0,,,,,
2,,47,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
3,,48,,अयोध्या,,0.0,,0.0,,18680.0,,0.0,,293.0,,0.0,,,,,
4,,49,,बदाय,,0.0,,0.0,,17913.0,,0.0,,101.0,,0.0,,,,,
5,,50,,बादा,,0.0,,0.0,,12058.0,,0.0,,166.0,,0.0,,,,,
6,,51,,बरेली,,0.0,,0.0,,50099.0,,0.0,,377.0,,0.0,,,,,
7,,52,,बस्ती,,0.0,,0.0,,12801.0,,0.0,,337.0,,0.0,,,,,
8,,53,,भदोही,,0.0,,0.0,,8476.0,,0.0,,165.0,,0.0,,,,,
9,,54,,बबजनौर,,0.0,,0.0,,18289.0,,0.0,,139.0,,0.0,,,,,
10,,55,,चदंौली,,0.0,,0.0,,17533.0,,0.0,,378.0,,0.0,,,,,
11,,56,,चचत्रकट,,0.0,,0.0,,7767.0,,0.0,,79.0,,0.0,,,,,
12,,57,,देवररया,,0.0,,1.0,,22404.0,,0.0,,230.0,,0.0,,,,,
13,,58,,एटा,,0.0,,0.0,,12105.0,,0.0,,100.0,,0.0,,,,,
14,,59,,क्रिरोजाबाद,,0.0,,0.0,,10565.0,,0.0,,136.0,,0.0,,,,,
15,,60,,गाजीपरु,,0.0,,0.0,,23878.0,,0.0,,295.0,,0.0,,,,,
16,,61,,हमीरपरु,,0.0,,0.0,,6067.0,,0.0,,102.0,,0.0,,,,,
17,,62,,हापड़ु,,0.0,,0.0,,15192.0,,0.0,,224.0,,0.0,,,,,
18,,63,,हार्रस,,0.0,,0.0,,3716.0,,0.0,,43.0,,0.0,,,,,
19,,64,,जालौन,,0.0,,0.0,,13853.0,,0.0,,209.0,,0.0,,,,,
20,,65,,कानपरु देहात,,0.0,,0.0,,7126.0,,0.0,,111.0,,0.0,,,,,
21,,66,,कासगजं,,0.0,,0.0,,4885.0,,0.0,,55.0,,0.0,,,,,
22,,67,,कौशाम्बी,,0.0,,0.0,,4878.0,,0.0,,72.0,,0.0,,,,,
23,,68,,महोबा,,0.0,,0.0,,4471.0,,0.0,,89.0,,0.0,,,,,
24,,69,,मऊ,,0.0,,0.0,,8938.0,,0.0,,86.0,,0.0,,,,,
25,,70,,लमर्ाुपरु,,0.0,,0.0,,11955.0,,0.0,,126.0,,0.0,,,,,
26,,71,,पीलीभीत,,0.0,,0.0,,12728.0,,0.0,,205.0,,0.0,,,,,
27,,72,,सतं कबीर नगर,,0.0,,0.0,,8854.0,,0.0,,101.0,,0.0,,,,,
28,,73,,शाहजहांपरु,,0.0,,0.0,,24401.0,,0.0,,447.0,,0.0,,,,,
29,,74,,शामली,,0.0,,0.0,,16696.0,,0.0,,48.0,,0.0,,,,,
30,,75,,सोनभद्र,,0.0,,0.0,,18656.0,,0.0,,257.0,,0.0,,,,,
31,,Total,,,,,,,27.0,,61.0,,2047167.0,,1.0,,23498.0,,309.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23498 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
