"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 28-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","195","737","287802","286054","[202] ↑  99.39%","1011 [1] ↑","171","472","3379","5583029"
"2","Faridabad","68","299","133004","131964 
[44] ↑","99.22%","741","111","306","1692","4134865"
"3  Hisar","","25","101","62799","61522 
[8] ↑","97.97%","1176","467","1096","1638","2396131"
"4","Sonipat","16","45","59059","58738 
[2] ↑","99.46%","276","126","475","426","2327403"
"5","Karnal","50","245","49199","48357 
[25] ↑","98.29%","597","281","751","700","2432719"
"6","Panchkula","82","326","46496","45754 
[93] ↑","98.40%","416","61","164","436","1160833"
"7","Ambala","48","268","41778","40968 
[54] ↑","98.06%","542","41","46","466","2181838"
"8","Panipat","6","50","36390","35666 
[9] ↑","98.01%","674","81","251","624","2100868"
"9","Sirsa","8","35","33766","33192 
[14] ↑","98.30%","539","53","321","522","1967666"
"10  Rohtak","","17","118","32463","31791 
[8] ↑","97.93%","537","33","921","366","1778821"
"","11  Yamunanagar","33","103","31243","30684 
[29] ↑","98.21%","456","46","369","698","2010688"
"12  Kurukshetra","","25","140","27298","26758 
[12] ↑","98.02%","400","43","676","363","1599239"
"13  Bhiwani","","17","35","26744","26044 
[18] ↑","97.38%","665","16","185","756","1850315"
"","14  Mahendragarh","9","23","24851","24663 
[7] ↑","99.24%","165","77","298","264","1423701"
"15  Rewari","","1","4","24747","24519 
[1] ↑","99.08%","224","13","105","865","1608213"
"16","Jind","27","73","24735","24120 
[12] ↑","97.51%","542","67","621","911","1755824"
"17","Jhajjar","0","17","23680","23306 
[4] ↑","98.42%","351","138","164","401","1614718"
"18  Fatehabad","","2","13","20161","19650 
[1] ↑","97.47%","498","29","71","208","1202427"
"19  Kaithal","","25","90","14605","14144 
[1] ↑","96.84%","371","101","359","1845","1834962"
"20  Palwal","","0","2","13550","13377 
[3] ↑","98.72%","171","87","174","504","1561567"
"","21  Charkhi Dadri","5","9","7539","7385 
[6] ↑","97.96%","145","64","42","243","930075"
"22  Nuh","","1","2","6138","5997","97.70%","139","26","8","18","1225968"
"HARYANA","","660","2735","1028047","1014653","[553] ↑  98.70%  10636 [1] ↑","","2132","7875","17325","44681870"
