"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","2","1","0","1989","16","35","0"
"East Jaintia Hills","4","0","0","2552","32","36","0"
"East Khasi Hills","54","148","3","46483","1052","661","108"
"Eastern West Khasi Hills","5","8","0","106","5","56","4"
"North Garo Hills","1","0","0","1801","8","48","2"
"Ri-Bhoi","13","14","1","10151","92","140","2"
"South Garo Hills","3","9","0","1311","12","33","1"
"South West Garo Hills","3","25","0","2030","18","61","2"
"South West Khasi Hills","4","9","0","2651","18","65","0"
"West Garo Hills","27","84","0","10440","77","389","13"
"West Jaintia Hills","4","10","0","7031","138","84","6"
"West Khasi Hills","3","5","0","5599","74","37","0"
"Total","123","313","4","92144","1542","1645","138"
