"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","130","1059395","0","19563"
"2","Thane","2","118053","0","2287"
"3","TMC","14","189647","0","2163"
"4","Navi Mumbai","6","166839","0","2090"
"5","KDMC","1","176194","0","2973"
"6","Ulhasnagar MC","0","26525","0","679"
"7","Bhivandi Nijampur MC","0","13148","0","496"
"8","Mira Bhayandar MC","1","76640","0","1227"
"9","Palghar","1","64667","0","1244"
"10","Vasai Virar MC","0","98951","0","2163"
"11","Raigad","0","138313","0","3463"
"12","Panvel MC","4","106065","0","1482"
"","Mumbai circle total","159","2234437","0","39830"
"13","Nashik","0","183745","0","3813"
"14","Nashik MC","0","278097","0","4752"
