,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-11,DL,Central Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
1,1,2021-11-11,DL,East Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
2,2,2021-11-11,DL,New Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
3,3,2021-11-11,DL,North Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
4,4,2021-11-11,DL,North East Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
5,5,2021-11-11,DL,North West Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
6,6,2021-11-11,DL,Shahdara,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
7,7,2021-11-11,DL,South Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
8,8,2021-11-11,DL,South East Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
9,9,2021-11-11,DL,South West Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
10,10,2021-11-11,DL,West Delhi,,,,,,,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
11,11,2021-11-11,DL,Unknown,,,,1440270.0,25091.0,1414812.0,,2021-11-12 05:14:33.920995,,,,1440270,25091,1414812,29922361
