"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4570","4151","12","4","403"
"Bageshwar","2098","2003","2","0","93"
"Chamoli","3243","3124","8","3","108"
"Champawat","1915","1894","0","1","20"
"Dehradun","34666","33579","540","180","367"
"Haridwar","13390","13061","66","27","236"
"Nainital","11605","11446","75","29","55"
"Pauri Garhwal","5321","4321","10","19","971"
"Pithoragarh","2575","2427","6","4","138"
"Rudraprayag","2720","2586","1","2","131"
"Tehri Garhwal","2432","2036","8","7","381"
"U.S. Nagar","8902","8589","11","5","297"
"Uttarkashi","1727","1535","11","5","176"
"Total","95164","90752","750","286","3376"
