"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","28","17","66629","8","4570","71193","0"
"Bageshwar","20","16","36564","0","2098","38658","0"
"Chamoli","28","14","50374","1","3243","53615","0"
"Champawat","29","1","62813","0","1915","64725","2"
"Dehradun","609","611","389014","113","34666","423545","55"
"Haridwar","172","205","315135","16","13390","328495","17"
"Nainital","120","97","95381","40","11605","106916","23"
"Pauri Garhwal","179","193","100310","3","5321","105624","27"
"Pithoragarh","22","23","43462","0","2575","46025","0"
"Rudraprayag","22","17","28433","0","2720","31153","0"
"Tehri Garhwal","121","103","40751","0","2432","43176","18"
"US Nagar","376","167","144008","5","8902","152886","34"
"Uttarkashi","109","122","44664","3","1727","46389","11"
"Total","1835","1586","1417538","189","95164","1512400","187"
