"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","107506","3928","101368","2210"
"2","SAS Nagar","92453","5883","85452","1118"
"3","Jalandhar","76260","2414","72298","1548"
"4","Patiala","61431","805","59193","1433"
"5","Amritsar","58039","2265","54122","1652"
"6","Bathinda","49618","1727","46819","1072"
"7","Hoshiarpur","39254","2393","35822","1039"
"8","Gurdaspur","26409","790","24774","845"
"9","Pathankot","23701","568","22676","457"
"10","Fazilka","22394","1285","20575","534"
"11","Kapurthala","21367","762","20042","563"
"12","Muktsar","21183","1088","19564","531"
"13","Sangrur","18014","394","16724","896"
"14","Ropar","17287","774","16082","431"
"15","Ferozepur","17237","614","16103","520"
"16","Mansa","17082","401","16292","389"
"17","Faridkot","16166","720","15117","329"
"18","SBS Nagar","13273","318","12561","394"
"19","FG Sahib","11601","341","10911","349"
"20","Moga","10458","749","9468","241"
"21","Tarn Taran","10429","995","9049","385"
"22","Barnala","7243","252","6737","254"
"","Total","738405","29466","691749","17190"
