"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1933","5213","31723"
"Kollam","1696","6701","18142"
"Pathanamthitta","785","2533","7978"
"Alappuzha","1036","2959","12291"
"Kottayam","1502","4135","22927"
"Idukki","831","1560","12766"
"Ernakulam","2732","6251","32051"
"Thrissur","1357","3132","18333"
"Palakkad","686","1923","8383"
"Malappuram","750","2207","13160"
"Kozhikode","1258","2447","12094"
"Wayanad","557","1479","6047"
"Kannur","633","1814","7496"
"Kasaragod","256","733","2019"
"Total","16012","43087","205410"
