"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20242","19962","13","267"
"2","Chengalpattu","252418","249329","429","2660"
"3","Chennai","790065","778609","2386","9070"
"4","Coimbatore","340223","337273","332","2618"
"5","Cuddalore","75796","74839","61","896"
"6","Dharmapuri","36812","36515","14","283"
"7","Dindigul","38979","38246","68","665"
"8","Erode","136204","135282","188","734"
"9","Kallakurichi","36934","36706","13","215"
"10","Kancheepuram","98037","96688","46","1303"
"11","Kanyakumari","89912","88595","231","1086"
"12","Karur","30248","29853","23","372"
"13","Krishnagiri","62178","61629","177","372"
"14","Madurai","93077","91757","84","1236"
"15","Mayiladuthurai","27375","26981","64","330"
"16","Nagapattinam","25980","25590","15","375"
"17","Namakkal","69710","69131","45","534"
"18","Nilgiris","42844","42570","48","226"
"19","Perambalur","14911","14625","37","249"
"20","Pudukottai","35233","34781","26","426"
"21","Ramanathapuram","24996","24617","11","368"
"22","Ranipet","56414","55557","70","787"
"23","Salem","131507","129582","161","1764"
"24","Sivagangai","25098","24829","50","219"
"25","Tenkasi","33892","33366","36","490"
"26","Thanjavur","93496","92400","55","1041"
"27","Theni","51838","51278","27","533"
"28","Thirupathur","36082","35446","3","633"
"29","Thiruvallur","153252","151218","92","1942"
"30","Thiruvannamalai","68318","67603","30","685"
"31","Thiruvarur","48962","48482","7","473"
"32","Thoothukudi","67205","66683","74","448"
"33","Tirunelveli","65940","65398","97","445"
"34","Tiruppur","132041","130891","97","1053"
"35","Trichy","98005","96729","115","1161"
"36","Vellore","58092","56891","38","1163"
"37","Villupuram","56269","55860","42","367"
"38","Virudhunagar","59406","58723","128","555"
"39","Airport Surveillance 
(International)","1394","1389","4","1"
"40","Airport Surveillance 
(Domestic)","1166","1165","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,80,979","35,37,496","5,437","38,046"
