"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2302","112778","2051","109540","28","3007","231"
"2","SAS Nagar","3974","99663","3327","97860","13","1161","642"
"3","Jalandhar","1974","80239","1548","77886","8","1948","405"
"4","Patiala","1545","63625","1311","61694","4","1715","216"
"5","Amritsar","865","60420","707","58415","3","1843","162"
"6","Bathinda","1039","51906","846","50289","1","1424","193"
"7","Hoshiarpur","775","41917","549","40281","9","1409","227"
"8","Gurdaspur","248","27175","181","26254","3","867","54"
"9","Pathankot","393","24895","329","24344","2","519","32"
"10","Fazilka","289","23721","262","23065","0","621","35"
"11","Muktsar","154","22706","117","22127","0","539","40"
"12","Kapurthala","365","22394","268","21710","1","593","91"
"13","Ropar","708","18646","508","17991","3","458","197"
"14","Ferozepur","309","18202","222","17582","2","539","81"
"15","Mansa","162","17387","136","16972","1","393","22"
"16","Faridkot","289","17124","248","16669","3","413","42"
"17","Sangrur","221","14655","209","13782","2","862","11"
"18","SBS Nagar","292","13694","231","13219","0","409","66"
"19","FG Sahib","491","12406","426","11906","1","437","63"
"20","Moga","136","11135","92","10823","3","269","43"
"21","Tarn Taran","90","10990","63","10568","1","399","23"
"22","Barnala","135","7635","119","7257","1","358","20"
"23","Malerkotla","46","4049","40","3831","2","213","5"
"","Total","16802","777362","13790","754065","91","20396","2901"
