"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,18,017"
"2","Number of persons tested positive today in Tamil Nadu","23,438"
"","Passengers returned from other countries  by 
International airport tested positive today","Ukraine - 1 
UAE - 1"
"","Passengers returned from other states / countries by 
Road tested positive today","Bangladesh - 9 
Karnataka - 2 
Uttar Pradesh - 2 
West Bengal - 2 
Bihar - 1 
Sikkim - 1 
Tripura - 1 
Andhra Pradesh - 1"
"","Total","23,459"
"3","Total Number of persons tested positive till date","28,91,959"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,53,046/ 
5,92,64,199@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,50,037/ 
5,83,13,533"
"6","No. of Male / Female / Transgender tested positive today","13,940/9,519/0"
"7","No. of Male / Female / Transgender tested positive till date","16,89,099/12,02,822/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","322 (69 Govt+ 
253 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","9,026/ 
27,36,986"
"10","Total number of deaths today/ till date","26(11 Private &  
15 Govt) /36,956"
