"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,470"
"2","Number of persons tested positive today in Tamil Nadu","1,144"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 7 
Qatar - 1 
Sri Lanka - 1 
Oman - 1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 1"
"","Total","1,155"
"3","Total Number of persons tested positive till date","27,48,045"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,04,615/ 
5,74,44,243@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,04,414/ 
5,65,04,639"
"6","No. of Male / Female / Transgender tested positive today","665/490/0"
"7","No. of Male / Female / Transgender tested positive till date","16,03,987/11,44,020/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","603/ 
27,03,799"
"10","Total number of deaths today/ till date","11(3 Private &  
8 Govt) /36,776)"
