District,Recovered,Deceased,Active
लखनऊ,237335,2652,14596
गौतम बिु नगर,65401,469,12754
गाज़ियाबाद,57526,461,10834
मरेठ,69738,907,8168
िाराणसी,84805,971,4010
आगरा,25912,458,3637
मरुादाबाद,39013,350,3315
कानपरु नगर,81235,1908,2428
प्रयागराज,77838,1090,2307
मथरुा,20108,402,2274
मजुफ्फरनगर,30939,270,2267
गोरखपरु,58685,849,2241
बलुदंशहर,20035,246,1781
सहारनपरु,32566,420,1488
अलीगढ,21343,109,1416
झासी,35991,663,1396
बरेली,43822,377,1381
शामली,12983,45,945
बाराबकंी,19689,225,913
रामपरु,11707,148,814
बबजनौर,14738,126,726
राय बरेली,16802,343,669
मनैपरुी,9875,183,647
बागपत,9048,141,614
हापड़ु,12500,217,611
अयोध्या,16726,290,594
अमरोहा,16578,203,543
गाजीपरु,21393,283,518
हरदोई,13444,352,512
सभंल,9416,106,506
शाहजहांपरु,19974,444,482
बदाय,14863,99,480
हाथरस,2903,43,467
क्रिरोजाबाद,8632,135,462
चदंौली,15878,357,444
सोनभद्र,16608,252,413
बस्ती,11415,330,380
गोंडा,12033,272,354
सलु्तानपरु,14789,139,344
सीतापरु,12227,185,339
लखीमपरु-खीरी,24150,294,336
एटा,9896,99,330
जौनपरु,22367,236,298
