,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Tested
0,2022-02-09,DL,Central Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
1,2022-02-09,DL,East Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
2,2022-02-09,DL,New Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
3,2022-02-09,DL,North Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
4,2022-02-09,DL,North East Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
5,2022-02-09,DL,North West Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
6,2022-02-09,DL,Shahdara,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
7,2022-02-09,DL,South Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
8,2022-02-09,DL,South East Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
9,2022-02-09,DL,South West Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
10,2022-02-09,DL,West Delhi,,,,,,,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
11,2022-02-09,DL,Unknown,,,,1847515,26023,1815188,,2022-02-10 10:49:37.381252,,,,1847515,26023,1815188,,35409018
