"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","32","58","68032","6","4787","72813","2"
"Bageshwar","58","54","37835","6","2152","39983","4"
"Chamoli","42","21","50771","5","3312","54081","0"
"Champawat","37","37","64312","2","1973","66282","0"
"Dehradun","775","657","401517","107","37720","439102","51"
"Haridwar","238","238","319905","11","13856","333731","23"
"Nainital","230","187","100230","50","12560","112720","31"
"Pauri Garhwal","191","208","103893","15","5494","109380","10"
"Pithoragarh","55","94","43939","4","2641","46568","2"
"Rudraprayag","82","74","29818","27","2955","32773","9"
"Tehri Garhwal","175","159","44301","2","2582","46876","11"
"US Nagar","390","530","148944","15","9182","158102","42"
"Uttarkashi","51","169","46191","5","1876","48065","2"
"Total","2356","2486","1459688","255","101090","1560476","187"
