"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109702","47","107379","2276"
"2","SAS Nagar","95602","67","94390","1145"
"3","Jalandhar","78215","50","76587","1578"
"4","Patiala","61992","24","60511","1457"
"5","Amritsar","59367","25","57660","1682"
"6","Bathinda","50824","21","49715","1088"
"7","Hoshiarpur","40785","34","39658","1093"
"8","Gurdaspur","26915","11","26041","863"
"9","Pathankot","24490","35","23960","495"
"10","Fazilka","23348","33","22770","545"
"11","Muktsar","22539","11","21990","538"
"12","Kapurthala","22003","8","21416","579"
"13","Ropar","17925","7","17463","455"
"14","Ferozepur","17876","8","17337","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16715","6","16371","338"
"17","Sangrur","14305","2","13568","735"
"18","SBS Nagar","13387","2","12979","406"
"19","FG Sahib","11826","3","11469","354"
"20","Moga","10978","4","10720","254"
"21","Tarn Taran","10882","12","10476","394"
"22","Barnala","7483","14","7124","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758352","425","740208","17719"
