"District","Positive 
Cases 
declared 
today","Declared 
Negative 
today","Positive 
cases 
admitted in 
the district","Other Districts"
"Thiruvananthapuram","1099","898","11782","Kollam - 99, Pathanamthitta - 18, Alappuzha - 8, 
Kottayam - 13, Idukki - 12, Ernakulam - 7, Thrissur - 7, 
Palakkad - 4, Malappuram - 2, Kozhikode - 3, Kannur - 
2, Kasaragod - 1, Others - 59"
"Kollam","501","632","5897","Pathanamthitta - 12, Idukki - 1, Ernakulam - 1"
"Pathanamthitta","534","508","4052","Alappuzha - 3, Kottayam - 8, Idukki - 4, Ernakulam - 4, 
Thrissur - 1"
"Alappuzha","315","314","2678","Pathanamthitta - 40, Kottayam - 34, Ernakulam - 3, 
Palakkad - 5, Kannur - 1"
"Kottayam","616","1021","5463","Pathanamthitta - 50, Idukki - 52, Ernakulam - 30, 
Thrissur - 1, Kannur - 2"
"Idukki","313","469","4121","Alappuzha - 1, Kottayam - 14, Ernakulam - 35"
"Ernakulam","1025","1157","9107","Pathanamthitta - 10, Kottayam - 11, Idukki - 24, 
Thrissur - 2, Palakkad - 12, Wayanad - 2, Kannur - 4, 
Kasaragod - 2, Others - 300"
"Thrissur","649","1472","6638","Kollam - 1, Pathanamthitta - 1, Alappuzha - 1, Kottayam 
- 1, Idukki - 1, Ernakulam - 6, Palakkad - 26, 
Malappuram - 1, Kannur - 1, Others - 1"
"Palakkad","284","331","3048",""
"Malappuram","342","410","4502","Thiruvananthapuram - 2, Pathanamthitta - 4, Kottayam 
- 2, Idukki - 1, Ernakulam - 4, Thrissur - 4, Kannur - 2, 
Kasaragod - 1"
"Kozhikode","723","452","7890","Thiruvananthapuram - 2, Pathanamthitta - 1, Kottayam 
- 5, Ernakulam - 13, Malappuram - 4, Wayanad - 21, 
Kannur - 61, Kasaragod - 13, Others - 1"
"Wayanad","331","316","2682","Kannur - 3"
"Kannur","422","369","3851",""
"Kasaragod","158","135","1372","Kannur - 2"
"Total","7312","8484","73083",""
