"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1781","1096813","1","19586"
"2","Thane","71","118895","0","2289"
"3","TMC","283","194354","0","2164"
"4","Navi Mumbai","288","171565","0","2090"
"5","KDMC","95","177320","0","2974"
"6","Ulhasnagar MC","10","26677","0","680"
"7","Bhivandi Nijampur MC","5","13195","0","496"
"8","Mira Bhayandar MC","72","77851","0","1227"
"9","Palghar","9","64863","0","1244"
"10","Vasai Virar MC","88","100327","0","2164"
"11","Raigad","128","139515","0","3465"
"12","Panvel MC","122","107723","0","1482"
"","Mumbai circle total","2952","2289098","1","39861"
"13","Nashik","9","183868","0","3814"
"14","Nashik MC","35","278388","0","4752"
