"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","123","1059807","0","19563"
"2","Thane","2","118056","0","2287"
"3","TMC","6","189681","0","2163"
"4","Navi Mumbai","21","166877","0","2090"
"5","KDMC","0","176200","0","2973"
"6","Ulhasnagar MC","0","26525","0","679"
"7","Bhivandi Nijampur MC","0","13148","0","496"
"8","Mira Bhayandar MC","1","76644","0","1227"
"9","Palghar","0","64668","0","1244"
"10","Vasai Virar MC","3","98954","0","2163"
"11","Raigad","0","138315","0","3463"
"12","Panvel MC","0","106070","0","1482"
"","Mumbai circle total","156","2234945","0","39830"
"13","Nashik","0","183746","0","3813"
