"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","366","633","2399"
"Kollam","165","197","1365"
"Pathanamthitta","118","203","786"
"Alappuzha","87","211","878"
"Kottayam","209","434","1709"
"Idukki","125","270","1406"
"Ernakulam","405","632","3027"
"Thrissur","166","249","1443"
"Palakkad","87","193","159"
"Malappuram","109","261","900"
"Kozhikode","166","260","1331"
"Wayanad","77","134","783"
"Kannur","94","153","698"
"Kasaragod","16","48","221"
"Total","2190","3878","17105"
