"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35185","0","34846","6","0","333","0",""
"","2","Ballari","8","97827","3","96012","129","0","1686","0",""
"","3","Belagavi","3","80024","4","79005","75","0","944","0",""
"","4","Bengaluru Rural","3","62122","2","61187","43","0","892","0",""
"","5","Bengaluru Urban","179","1258509","204","1236666","5482","2","16360","1",""
"","6","Bidar","0","24349","0","23942","1","0","402","4",""
"","7","Chamarajanagara","2","33101","4","32548","39","0","503","11",""
"","8","Chikkaballapura","0","43989","0","43542","15","0","431","1",""
"","9","Chikkamagaluru","19","51381","5","50806","179","0","396","0",""
"","10","Chitradurga","1","36741","2","36495","37","0","209","0",""
"","11","Dakshina 
Kannada","26","116027","12","114188","141","0","1691","7",""
"","12","Davanagere","0","51019","1","50393","18","0","608","0",""
"","13","Dharwada","5","61431","19","59999","107","0","1323","2",""
"","14","Gadag","0","26073","0","25754","0","0","319","0",""
"","15","Hassana","4","112154","9","110800","93","0","1259","2",""
"","16","Haveri","0","21959","0","21315","1","0","643","0",""
"","17","Kalaburagi","1","61961","2","61132","7","0","822","0",""
"","18","Kodagu","26","37399","4","36903","162","0","333","1",""
"","19","Kolara","1","47040","3","46372","27","0","641","0",""
"","20","Koppala","0","35207","0","34666","13","0","528","0",""
"","21","Mandya","6","73888","4","73195","38","0","655","0",""
"","22","Mysuru","15","180019","23","177345","249","0","2425","0",""
"","23","Raichuru","0","39981","1","39648","0","0","333","0",""
"","24","Ramanagara","0","24215","0","23890","2","0","323","0",""
"","25","Shivamogga","1","69666","2","68412","164","0","1090","0",""
"","26","Tumakuru","4","121190","14","119914","136","0","1140","0",""
"","27","Udupi","4","76970","9","76415","66","0","489","0",""
"","28","Uttara Kannada","6","56492","12","55650","69","0","773","0",""
"","29","Vijayapura","0","36282","0","35781","6","0","495","0",""
"","30","Yadagiri","0","27548","0","27342","0","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","314","2999785","339","2954196","7305","2","38255","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 10-12-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
