"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40671","5","40298","6","0","367","0"
"2","Ballari","1","115477","43","113657","57","0","1761","2"
"3","Belagavi","4","100074","18","99032","42","0","998","2"
"4","Bengaluru Rural","1","79266","3","78323","37","0","906","0"
"5","Bengaluru Urban","163","1779180","331","1759789","2460","2","16930","1"
"6","Bidar","0","29800","2","29370","6","0","420","4"
"7","Chamarajanagara","1","43606","11","43055","16","0","524","11"
"8","Chikkaballapura","1","55605","2","55121","24","0","459","1"
"9","Chikkamagaluru","0","57220","13","56779","35","0","406","0"
"10","Chitradurga","3","46192","43","45843","112","0","237","0"
"11","Dakshina 
Kannada","2","135417","22","133532","38","0","1837","10"
"12","Davanagere","2","57528","21","56893","12","0","623","0"
"13","Dharwada","2","84036","5","82625","30","1","1378","3"
"14","Gadag","3","30577","1","30232","10","0","335","0"
"15","Hassana","1","143840","17","142511","22","1","1305","2"
"16","Haveri","2","26829","3","26156","5","0","668","0"
"17","Kalaburagi","5","76560","13","75636","46","0","878","0"
"18","Kodagu","1","49241","9","48822","66","0","352","1"
"19","Kolara","4","62964","2","62276","24","0","664","0"
"20","Koppala","0","41276","1","40722","16","0","538","0"
"21","Mandya","1","101465","2","100741","18","0","706","0"
"22","Mysuru","9","229319","1","226645","118","0","2556","0"
"23","Raichuru","2","45443","9","45063","20","0","360","0"
"24","Ramanagara","0","29768","1","29410","11","0","347","0"
"25","Shivamogga","7","83257","39","82054","74","0","1128","1"
"26","Tumakuru","5","159765","7","158488","61","1","1216","0"
"27","Udupi","5","95579","13","94981","52","0","546","0"
"28","Uttara Kannada","7","71135","1","70298","29","0","808","0"
"29","Vijayapura","0","40990","10","40464","9","1","517","0"
"30","Yadagiri","1","29952","0","29727","13","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","233","3942068","648","3898576","3469","6","39985","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 04-03-2022 
 Page 5 of 8","","","","","","","","",""
