"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4559","4145","8","4","402"
"Bageshwar","2096","2003","0","0","93"
"Chamoli","3239","3122","8","3","106"
"Champawat","1915","1894","0","1","20"
"Dehradun","34362","33407","410","178","367"
"Haridwar","13357","13050","45","27","235"
"Nainital","11542","11396","62","29","55"
"Pauri Garhwal","5311","4314","8","19","970"
"Pithoragarh","2575","2425","8","4","138"
"Rudraprayag","2719","2586","1","2","130"
"Tehri Garhwal","2427","2036","14","7","370"
"U.S. Nagar","8888","8572","14","5","297"
"Uttarkashi","1720","1525","14","5","176"
"Total","94710","90475","592","284","3359"
