"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","108864","1745","104881","2238"
"2","SAS Nagar","94287","2447","90712","1128"
"3","Jalandhar","77400","1318","74522","1560"
"4","Patiala","61730","323","59963","1444"
"5","Amritsar","58808","973","56168","1667"
"6","Bathinda","50338","921","48339","1078"
"7","Hoshiarpur","40141","1281","37795","1065"
"8","Gurdaspur","26709","399","25454","856"
"9","Pathankot","24047","431","23147","469"
"10","Fazilka","22939","1058","21338","543"
"11","Muktsar","22260","476","21249","535"
"12","Kapurthala","21722","324","20831","567"
"13","Sangrur","18202","126","17173","903"
"14","Ropar","17695","392","16864","439"
"15","Ferozepur","17588","360","16705","523"
"16","Mansa","17166","131","16644","391"
"17","Faridkot","16451","339","15780","332"
"18","SBS Nagar","13310","116","12796","398"
"19","FG Sahib","11734","194","11187","353"
"20","Moga","10817","419","10148","250"
"21","Tarn Taran","10704","442","9873","389"
"22","Barnala","7360","106","6990","264"
"","Total","750272","14321","718559","17392"
