"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1440","1199","17841"
"Kollam","1015","6792","10760"
"Pathanamthitta","654","2554","4575"
"Alappuzha","754","1058","7836"
"Kottayam","1231","3550","13857"
"Idukki","584","1200","8219"
"Ernakulam","2141","7750","18764"
"Thrissur","926","2280","10610"
"Palakkad","552","804","4961"
"Malappuram","557","1165","8243"
"Kozhikode","998","1695","8561"
"Wayanad","301","602","3904"
"Kannur","514","1061","4401"
"Kasaragod","109","317","1293"
"Total","11776","32027","123825"
