"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","105572","6571","96812","2189"
"2","SAS Nagar","89666","8243","80312","1111"
"3","Jalandhar","74887","3888","69464","1535"
"4","Patiala","61103","1822","57858","1423"
"5","Amritsar","57019","3397","51982","1640"
"6","Bathinda","48703","2898","44740","1065"
"7","Hoshiarpur","37921","2754","34142","1025"
"8","Gurdaspur","25965","1196","23936","833"
"9","Pathankot","23312","847","22010","455"
"10","Fazilka","21973","1274","20165","534"
"11","Kapurthala","20931","1099","19273","559"
"12","Muktsar","20658","1164","18966","528"
"13","Sangrur","17699","498","16309","892"
"14","Mansa","16910","664","15861","385"
"15","Ropar","16730","1197","15103","430"
"16","Ferozepur","16676","808","15351","517"
"17","Faridkot","15714","824","14565","325"
"18","SBS Nagar","13073","514","12166","393"
"19","FG Sahib","11406","515","10544","347"
"20","Tarn Taran","10050","1238","8428","384"
"21","Moga","10039","783","9017","239"
"22","Barnala","7045","395","6400","250"
"","Total","723052","42589","663404","17059"
