"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","0","0","2049","17","0","0"
"East Jaintia Hills","0","0","0","2625","38","0","0"
"East Khasi Hills","0","2","0","47085","1075","3","0"
"Eastern West Khasi Hills","0","0","0","141","8","0","0"
"North Garo Hills","0","0","0","1881","9","0","0"
"Ri-Bhoi","4","0","0","10318","98","4","1"
"South Garo Hills","0","0","0","1343","13","0","0"
"South West Garo Hills","0","0","0","2094","20","0","0"
"South West Khasi Hills","0","0","0","2698","20","0","0"
"West Garo Hills","1","0","0","10725","80","1","1"
"West Jaintia Hills","0","0","0","7192","139","0","0"
"West Khasi Hills","0","0","0","5654","76","0","0"
"Total","5","2","0","93805","1593","8","2"
