"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","120","1148313","1","19726"
"2","Thane","4","120970","0","2290"
"3","TMC","10","202736","1","2192"
"4","Navi Mumbai","12","180917","0","2096"
"5","KDMC","13","180107","0","2978"
"6","Ulhasnagar MC","0","27295","0","686"
"7","Bhivandi Nijampur MC","1","13413","0","496"
"8","Mira Bhayandar MC","2","79854","0","1237"
"9","Palghar","7","65718","0","1244"
"10","Vasai Virar MC","4","102672","0","2177"
"11","Raigad","30","144471","0","3483"
"12","Panvel MC","8","111322","0","1487"
"","Mumbai circle total","211","2377788","2","40092"
"13","Nashik","5","186260","0","3817"
"14","Nashik MC","7","281121","0","4756"
"15","Malegaon MC","4","11162","0","345"
