"S. No","Subject","Number"
"1","Total Number of people vaccinated on 9th Dec","3,52,989"
"2","First Dose on 9th Dec","57,404"
"3","Second Dose on 9th Dec","2,95,585"
"4","Cumulative Vaccination till 9th Dec","9,55,35,595"
"5","Cumulative Vaccination First Dose","6,37,41,825"
"6","Cumulative Vaccination Second Dose","3,17,93,770"
"7","Number of CVC (Common Vaccination Centres)","4,871"
"8","Cumulative AEFI cases reported","5,821"
"9","Vaccine wastage","-7%"
