"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","704","1066323","1","19567"
"2","Thane","12","118139","0","2289"
"3","TMC","71","190225","0","2163"
"4","Navi Mumbai","59","167367","0","2090"
"5","KDMC","13","176276","0","2974"
"6","Ulhasnagar MC","1","26531","0","680"
"7","Bhivandi Nijampur MC","1","13153","0","496"
"8","Mira Bhayandar MC","15","76753","0","1227"
"9","Palghar","0","64688","0","1244"
"10","Vasai Virar MC","17","99057","0","2163"
"11","Raigad","14","138411","0","3463"
"12","Panvel MC","13","106260","0","1482"
"","Mumbai circle total","920","2243183","1","39838"
"13","Nashik","1","183764","0","3814"
"14","Nashik MC","1","278137","0","4752"
