,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10149,9982,129,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,712753,343754,341489,27510,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,17,47,83,147,12,9,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2321207,2305818,14731,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,96867566,44632559,47502279,4732728,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,410,1407,62201,64018,172,99,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,64518,64216,296,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,1743478,928987,776559,37932,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,986,594,304,1884,1,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,724715,716365,7988,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,46580179,24560179,21349651,670349,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,2758,13856,7332,23946,68,12,0,,,1332900000,Assam,34293000
4,Bihar,832403,819258,12259,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,136178696,71241353,61696526,3240817,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,34875,67907,79501,182283,211,98,2,,,1332900000,Bihar,119520000
5,Chandigarh,93700,92016,1165,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,2198382,1178509,966712,53161,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,183,442,146,771,96,79,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1154053,1139166,14036,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,40244885,20779741,18757084,708060,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,9266,30645,9398,49309,186,92,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11470,11451,4,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,1444624,777413,623667,43544,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,132,132,2628,2892,3,1,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1932900,1902158,26260,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,34988028,18120319,15273804,1593905,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,1974,5739,22538,30251,874,941,4,,,1332900000,Delhi,19814000
9,Goa,248339,243569,3838,2022-06-29,TT,43433345,525077,42808666,2022-06-29 12:17:24.906052,861923059,2022-06-28 00:00:00,433659,1973565868,1016281264,913495948,43788656,2786841,1435125,1284215,67501,https://www.icmr.gov.in/,14506,30,11574,461809,860092,198883,1520784,72,191,499,762,168,156,3,,,1332900000,Goa,1540000
