Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Column 19
2022-06-29,JK,Srinagar,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,102872,908,101860,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Baramulla,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,37678,304,37370,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Budgam,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,34860,237,34619,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Pulwama,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,18431,201,18228,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Kupwara,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,21775,174,21597,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Anantnag,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,22438,219,22216,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Bandipora,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,13689,119,13569,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Ganderbal,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,13630,84,13543,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Kulgam,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,16330,119,16205,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Shopiyan,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,6307,60,6247,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Jammu,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,76826,1227,75326,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Udhampur,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,14790,147,14636,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Rajouri,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,12816,249,12564,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Doda,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,11535,144,11389,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Kathua,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,11430,166,11256,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Samba,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,9112,125,8972,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Kishtwar,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,5897,46,5849,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Punch,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,7747,110,7631,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Ramban,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,8139,69,8070,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
2022-06-29,JK,Reasi,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,8704,48,8656,,2022-06-29 19:55:54.488220,2022-06-29 17:00:00+05:30,https://twitter.com/diprjk,,455006,4756,449803,25753909,
