"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20062","19743","52","267"
"2","Chengalpattu","247987","243528","1801","2658"
"3","Chennai","779928","765816","5043","9069"
"4","Coimbatore","334738","330888","1232","2618"
"5","Cuddalore","74918","73791","232","895"
"6","Dharmapuri","36430","36075","72","283"
"7","Dindigul","38069","37169","235","665"
"8","Erode","133777","132684","359","734"
"9","Kallakurichi","36791","36542","34","215"
"10","Kancheepuram","96957","95353","302","1302"
"11","Kanyakumari","88377","86970","322","1085"
"12","Karur","29966","29536","58","372"
"13","Krishnagiri","60319","59701","248","370"
"14","Madurai","92246","90744","266","1236"
"15","Mayiladuthurai","26812","26366","116","330"
"16","Nagapattinam","25716","25252","89","375"
"17","Namakkal","68710","67953","223","534"
"18","Nilgiris","42529","42221","82","226"
"19","Perambalur","14815","14517","49","249"
"20","Pudukottai","34898","34322","150","426"
"21","Ramanathapuram","24925","24509","48","368"
"22","Ranipet","55120","54116","217","787"
"23","Salem","129070","126774","534","1762"
"24","Sivagangai","24496","24121","156","219"
"25","Tenkasi","33440","32794","156","490"
"26","Thanjavur","92879","91578","261","1040"
"27","Theni","51213","50440","240","533"
"28","Thirupathur","35868","35200","35","633"
"29","Thiruvallur","151698","149297","461","1940"
"30","Thiruvannamalai","67615","66764","166","685"
"31","Thiruvarur","48484","47834","177","473"
"32","Thoothukudi","66574","65850","276","448"
"33","Tirunelveli","64868","64006","417","445"
"34","Tiruppur","130674","129439","183","1052"
"35","Trichy","96918","95429","328","1161"
"36","Vellore","57721","56466","92","1163"
"37","Villupuram","55465","54888","210","367"
"38","Virudhunagar","58321","57288","478","555"
"39","Airport Surveillance 
(International)","1375","1365","9","1"
"40","Airport Surveillance 
(Domestic)","1146","1145","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,32,343","34,78,902","15,409","38,032"
