Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Bishnupur,4,0,,116,257,158,0,19.0,0.0,,708.0,1579.0,1463.0,240363,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,9280,195,,77536,137670,101988,0,2022-01-15 23:56:07.461579,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Chandel,5,0,,26,40,32,0,71.0,0.0,,347.0,173.0,250.0,144028,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,2443,41,,34052,28156,22124,0,2022-01-15 23:56:07.461599,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Churachandpur,39,0,,423,216,73,0,143.0,0.0,,1553.0,1387.0,674.0,271274,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,10378,163,,125632,112216,85068,0,2022-01-15 23:56:07.461601,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Imphal East,38,0,,329,440,271,0,166.0,1.0,,2117.0,3045.0,1909.0,452661,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,28184,482,,259872,271803,205776,0,2022-01-15 23:56:07.461602,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Imphal West,50,1,,597,651,230,0,305.0,1.0,,4749.0,6828.0,2004.0,514683,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,44552,676,,467718,335018,260730,0,2022-01-15 23:56:07.461604,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Jiribam,0,0,,200,6,11,0,18.0,0.0,,1703.0,72.0,88.0,43818,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,1048,7,,30707,28979,23882,0,2022-01-15 23:56:07.461605,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Kakching,4,0,,56,114,337,0,20.0,0.0,,370.0,1107.0,1399.0,135481,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,6482,116,,62374,90496,69815,0,2022-01-15 23:56:07.461606,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Kamjong,1,0,,9,29,26,0,35.0,0.0,,137.0,191.0,134.0,45616,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,993,5,,14839,12766,8500,0,2022-01-15 23:56:07.461608,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Kangpokpi,3,1,,49,150,39,0,12.0,1.0,,413.0,1636.0,557.0,0,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,2804,64,,42532,46294,30502,0,2022-01-15 23:56:07.461608,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
2022-01-15,MN,158,2,37,2215,2630,1548,0,891.0,4.0,238.0,14793.0,20936.0,11686.0,Noney,0,0,,22,43,10,0,17.0,0.0,,115.0,186.0,142.0,0,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,1097,4,,18411,19556,13879,0,2022-01-15 23:56:07.461611,3103000,2022-01-15 23:56:05.242239,https://twitter.com/health_manipur,,126979,2014,123902,1489811,1361467,1019283,0,0.0,0.0
