,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Alappuzha,765,1,208,,4051,2384,752.0,3495.0,72.0,1056.0,,31273.0,18418.0,2121943,,,,330894,3908,326557,,1649533,1424404,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Ernakulam,2637,16,757,,9059,8729,3305.0,15130.0,103.0,4934.0,,62464.0,39513.0,3279860,,,,665580,5906,639050,,3128260,2508204,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Idukki,417,2,126,,1195,1151,568.0,2246.0,35.0,885.0,,15304.0,8328.0,1107453,,,,161631,1031,156547,,918558,715232,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Kannur,845,5,302,,4231,2453,1216.0,4262.0,72.0,1629.0,,32384.0,26974.0,2525637,,,,298354,3699,291288,,2060397,1683958,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Kasaragod,317,9,116,,3967,290,322.0,1667.0,62.0,605.0,,20821.0,11467.0,1302600,,,,145841,1035,141147,,984044,776622,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Kollam,831,5,141,,4495,2226,1136.0,4433.0,257.0,480.0,,31977.0,30155.0,2629703,,,,418596,4851,411107,,2108920,1706758,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Kottayam,1194,0,303,,3652,3489,1559.0,5868.0,68.0,1920.0,,28918.0,21986.0,1979384,,,,352753,2867,344180,,1593348,1303559,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Kozhikode,1648,36,467,,11373,4301,2154.0,8335.0,48.0,2549.0,,45249.0,40778.0,3089543,,,,570574,4551,559952,,2516437,1970468,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Malappuram,728,13,123,,14317,8741,787.0,3566.0,47.0,832.0,,83872.0,77767.0,4110956,,,,583618,3794,577554,,3139660,2291446,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-15,KL,17755,106,3819,65937,76974,48040,13879.0,81404.0,1127.0,20721.0,498284.0,526544.0,383547.0,Palakkad,835,2,186,,5277,3948,,3818.0,205.0,775.0,,49220.0,36587.0,2810892,,,,388721,4171,377983,,2201068,1724599,0,2022-01-16 17:05:03.469386,35125000,2022-01-16 17:05:03.470220,,,5360708,50674,5218681,42412555,27395101,21976956,0,0.0,0,0,0,0
