Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Dimapur,51,0,26,,300,87,0,500.0,0.0,237.0,,14773.0,6075.0,379769,,,,15480,432,14713,,300310,223768,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Kiphire,0,0,0,,13,6,0,0.0,0.0,0.0,,292.0,139.0,74033,,,,267,9,258,,21042,10673,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Kohima,5,0,0,,344,44,0,42.0,0.0,5.0,,5645.0,1181.0,270063,,,,9550,126,9388,,115045,94184,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Longleng,0,0,0,,0,0,0,0.0,0.0,0.0,,167.0,62.0,50593,,,,307,2,305,,21691,16577,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Mokokchung,0,0,0,,322,20,0,3.0,0.0,0.0,,3509.0,878.0,193171,,,,2385,56,2325,,74589,62283,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Mon,0,0,0,,269,2,0,1.0,0.0,1.0,,1028.0,540.0,259604,,,,1160,14,1146,,73698,55466,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Peren,2,0,0,,158,25,0,7.0,0.0,2.0,,805.0,475.0,163294,,,,929,6,918,,23044,15864,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Phek,1,0,0,,164,18,0,2.0,0.0,0.0,,965.0,362.0,163294,,,,606,18,586,,37973,26100,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Tuensang,0,0,0,,465,15,0,15.0,0.0,0.0,,921.0,363.0,414801,,,,1117,13,1089,,43538,31392,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Wokha,0,0,0,,17,3,0,0.0,0.0,0.0,,1323.0,389.0,166239,,,,407,11,392,,38122,26796,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
2022-01-15,NL,59,0,26,1061,2073,267,0,570.0,0.0,245.0,5719.0,29543.0,10692.0,Zunheboto,0,0,0,,21,47,0,0.0,0.0,0.0,,115.0,228.0,141014,,,,626,16,607,,42253,27712,0,2022-01-15T23:56:09.686428+05:30,2150000,,,,32834,703,31727,432519,791305,590815,0,0.0,0.0
