,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Airport Quarantine,,,,,0,0,,,,,,0.0,0.0,0,,,,,,,,0,0,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Baksa,,,,,139,872,,,,,,4527.0,14085.0,953773,,,,,,,,640480,443421,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Barpeta,,,,,837,1582,,,,,,13700.0,30254.0,1693190,,,,,,,,1223316,1009326,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Biswanath,,,,,48,449,,,,,,2040.0,6926.0,612491,,,,,,,,508373,359547,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Bongaigaon,,,,,195,822,,,,,,3230.0,11383.0,732639,,,,,,,,550994,432804,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Cachar,,,,,846,2219,,,,,,18280.0,25747.0,1736319,,,,,,,,1217756,855984,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Charaideo,,,,,0,0,,,,,,2684.0,5067.0,0,,,,,,,,349602,231205,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Chirang,,,,,170,333,,,,,,4159.0,9387.0,481818,,,,,,,,325886,220563,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Darrang,,,,,122,830,,,,,,6957.0,16517.0,908090,,,,,,,,673238,471858,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Dhemaji,,,,,222,182,,,,,,3658.0,7113.0,688077,,,,,,,,490210,345372,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
10,10,10,10,10,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Dhubri,,,,,535,3716,,,,,,10966.0,41269.0,1948632,,,,,,,,1078149,812103,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
11,11,11,11,11,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Dibrugarh,,,,,4,10,,,,,,11392.0,15641.0,1327748,,,,,,,,1022726,780509,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
12,12,12,12,12,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Dima Hasao,,,,,150,241,,,,,,1696.0,3588.0,213529,,,,,,,,143376,95099,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
13,13,13,13,13,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Goalpara,,,,,602,138,,,,,,7572.0,20999.0,1008959,,,,,,,,745855,544072,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
14,14,14,14,14,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Golaghat,,,,,153,1089,,,,,,7974.0,14068.0,1058674,,,,,,,,807250,590342,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
15,15,15,15,15,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Hailakandi,,,,,46,934,,,,,,4586.0,9978.0,659260,,,,,,,,466896,331707,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
16,16,16,16,16,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Hojai,,,,,80,519,,,,,,3228.0,13160.0,931218,,,,,,,,678237,553875,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
17,17,17,17,17,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Jorhat,,,,,579,1077,,,,,,6418.0,11952.0,1091295,,,,,,,,739565,578583,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
18,18,18,18,18,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Kamrup,,,,,249,1172,,,,,,11050.0,31212.0,1517202,,,,,,,,1244128,949796,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
19,19,19,19,19,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Kamrup Metropolitan,,,,,1375,2401,,,,,,24852.0,31357.0,1260419,,,,,,,,1371611,1187190,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
20,20,20,20,20,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Karbi Anglong,,,,,1026,1823,,,,,,11439.0,17221.0,965280,,,,,,,,418132,277873,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
21,21,21,21,21,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Karimganj,,,,,330,1386,,,,,,8794.0,28598.0,1217002,,,,,,,,758027,557436,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
22,22,22,22,22,2022-01-15,AS,3390,4,876,0,10725,30681,834,18273.0,21.0,5023.0,,247785.0,548861.0,Kokrajhar,,,,,109,377,,,,,,9355.0,18664.0,886999,,,,,,,,594131,393185,0,2022-01-16 11:55:21.722648,34293000,,,,644026,6201,618701,,22857775,16884923,0,0.0,0,0,0,0
