"Total No. of Sample Taken Today","12531"
"Total No. of Positive Cases Detected Today","144"
"Total Active COVID-19 Patients","898"
"Total No. of Active Cases under Home Isolation (04-06-2022)","882"
"Total No. of Samples found Positive till date","1003486"
"Total Positive COVID-19 Patients Recovered / Discharged till date","991944"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","21425 
(1st Dose: 1694 
2nd Dose: 7709 
Precaution Dose: 12022)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23540762 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19277447 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","722710"
"Cumulative Coverage of Total COVID-19 Vaccination","43540919"
"COVID-19 Today (04-06-2022) Positivity Rate","1.41%"
"Recovery Rate","98.85%"
"Fatality Rate","1.06%"
