,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316695,14730,2304806,33469666
1,Anakapalli,0,0,0,0,2316695,14730,2304806,33469666
2,Anantapur,177611,0,0,0,2316695,14730,2304806,33469666
3,Annamayya,0,0,0,0,2316695,14730,2304806,33469666
4,Bapatla,0,0,0,0,2316695,14730,2304806,33469666
5,Chittoor,272394,0,0,0,2316695,14730,2304806,33469666
6,East Godavari,316586,0,0,0,2316695,14730,2304806,33469666
7,Eluru,1,0,0,0,2316695,14730,2304806,33469666
8,Guntur,203245,0,0,0,2316695,14730,2304806,33469666
9,Kakinada,1,0,0,0,2316695,14730,2304806,33469666
10,Konaseema,0,0,0,0,2316695,14730,2304806,33469666
11,Krishna,136896,0,0,0,2316695,14730,2304806,33469666
12,Kurnool,144244,0,0,0,2316695,14730,2304806,33469666
13,Nandyal,0,0,0,0,2316695,14730,2304806,33469666
14,NTR District,0,0,0,0,2316695,14730,2304806,33469666
15,Palnadu,0,0,0,0,2316695,14730,2304806,33469666
16,Parvathipuram Manyam,0,0,0,0,2316695,14730,2304806,33469666
17,Prakasam,155938,0,0,0,2316695,14730,2304806,33469666
18,S.P.S. Nellore,164375,0,0,0,2316695,14730,2304806,33469666
19,Sri Sathya Sai,1,0,0,0,2316695,14730,2304806,33469666
20,Srikakulam,133953,0,0,0,2316695,14730,2304806,33469666
21,Tirupati,1,0,0,0,2316695,14730,2304806,33469666
22,Visakhapatnam,190942,0,0,0,2316695,14730,2304806,33469666
23,Vizianagaram,92241,0,0,0,2316695,14730,2304806,33469666
24,West Godavari,193378,0,0,0,2316695,14730,2304806,33469666
25,Y.S.R. Kadapa,134888,0,0,0,2316695,14730,2304806,33469666
