Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
2022-04-08,HP,Bilaspur,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,18235,95,18138,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,1
2022-04-08,HP,Chamba,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,16086,171,15896,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,2
2022-04-08,HP,Hamirpur,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,23320,328,22987,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,1
2022-04-08,HP,Kangra,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,63724,1246,62450,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,7
2022-04-08,HP,Kinnaur,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,4444,41,4399,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,0
2022-04-08,HP,Kullu,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,11961,162,11797,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,2
2022-04-08,HP,Lahaul and Spiti,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,3155,18,3137,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,0
2022-04-08,HP,Mandi,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,38822,502,38308,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,0
2022-04-08,HP,Shimla,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,35705,716,34973,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,4
2022-04-08,HP,Sirmaur,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,19861,221,19639,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,0
2022-04-08,HP,Solan,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,30613,335,30274,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,0
2022-04-08,HP,Una,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,18699,279,18406,,2022-04-08 22:56:05.314745,2022-04-08 17:00:00+05:30,https://twitter.com/nhm_hp,,284625,4114,280404,,19,2
